id,species,family,subfamily,identification,wingspan,caterpillarhost,adultfood,habitat,flight,range
139,Erynnis persius,Hesperiidae,Pyrginae,Upperside is brown-black. Forewing has few clear dots and very dim markings; patch at end of cell is grayish. Male forewing has many raised white hairs. Hindwing fringes are dark. Male has a costal fold containing yellow scent scales; female has a patch of scent scales on the 7th abdominal segment.,1 1/8 - 1 5/8 inches (2.9 - 4.2 cm).,"Lupine (Lupinus), golden banner (Thermopsis), Lotus, and other legumes.",Flower nectar.,"Open areas including mountain grasslands, marshes, sand plains, seeps, streamsides.",One brood from April-June.,"In the west, from Alaska and the McKenzie River delta south to southeastern Manitoba; south through the western mountains to southern California, southern Arizona, and southeast New Mexico. In the east, northern New England west to Wisconsin; south in the Appalachians to Virginia. Comments: The Columbine, Wild Indigo, and Persius dusky wings belong to the ""Persius complex,"" a confusing group of very similar butterflies."
140,Erynnis propertius,Hesperiidae,Pyrginae,"Upperside brown; forewings with gray overscaling and distinct dark markings. Clear spots are small in the male, large in the female. Underside of hindwing has well-defined spots below the apex. Male has a costal fold containing yellow scent scales; female has a patch of scent scales on the 7th abdominal segment.",1 3/8 - 1 3/4 inches (3.5 - 4.5 cm).,"Coast live oak (Quercus agrifolia), Garry oak (Q. garryana), and perhaps others.",Flower nectar.,"Open oak woodlands, forest openings and edges, meadows and fields near oaks. Does not occur in deserts or hot central valleys.",One brood from March-July.,Southern British Columbia south along the Pacific Slope to Baja California Norte.
141,Essex skipper,Hesperiidae,Hesperiinae,Wings are brassy burnt orange; upperside of both wings with black borders and black on the outer portions of the veins. The male forewing has a narrow black stigma. A pale form (pallida) is very rare.,1 - 1 1/8 inches (2.5 - 2.9 cm).,Timothy (Phleum pratense) and other grasses.,"Nectar from low-growing flowers including orange hawkweed, thistles, ox-eye daisy, fleabane, white clover, red clover, selfheal, Deptford pink, common milkweed, and swamp milkweed.","Open grassy places including meadows, hayfields, pastures, abandoned homesteads, grassy road edges.",One brood from mid-May to mid-July.,"This skipper was introduced accidently to North America in 1910 through London, Ontario. Eastern population: Newfoundland west to eastern North Dakota, south to southern Illinois and western South Carolina. Western population: western Colorado, Idaho, Montana, and British Columbia. The range is still expanding, perhaps due to the relocation of eggs in hay shipments."
142,Euchloe ausonides,Pieridae,Pierinae,Scattered white scales in forewing black bar. Black pattern on tip of upperside of forewing. Dense green marbling on underside of hindwing.,1 1/2 - 2 inches (3.8 - 5.1 cm).,"Plants of the mustard (Brassicaceae) family including rockcress (Arabis drummondi), dyer's woad (Isatis tinctoria), mustards (Brassica species), and hedge mustard (Sisymbrium species).",Nectar from flowers of the mustard family and other plants such as fiddleneck (Amsinckia) and brodiaeas.,"Valleys, hillsides, fields, meadows, and other open sunny areas.","One in the north, May-July; two in central California, February-April and May-August.","Alaska south to central California and northern New Mexico, east to southwest Manitoba."
143,Euchloe creusa,Pieridae,Pierinae,"Pale markings at tip of upperside of front wing; cell bar narrow. Fore- and hindwing bases dark on the uppersides. Underside of hindwing with considerable ""fractured"" dark marbling.",1 3/8 - 1 5/8 inches (3.5 - 4.2 cm).,Plants of the mustard (Brassicaceae) family.,Flower nectar. Specific plants not reported.,"Mountains, rocky outcrops, trails, roadsides.",One flight from May-July.,"Alaska south and east to British Columbia, Alberta, and Saskatchewan. Northern Montana in Glacier National Park."
144,Euchloe hyantis,Pieridae,Pierinae,Upperside of forewing with narrow cell bar very close to edge of wing. Cell bar usually devoid of white scales. Underside cream-white; hindwing with yellow-green to green marbling.,1 - 1 1/4 inches (2.8-3.7 cm).,"Plants in the mustard (Brassicaceae) family, especially Jewel-flower (Streptanthus) species.",Flower nectar including that of hosts and others such as tansy-mustard or pussy-paws.,"Rocky canyons, cliffs, moraines, gravelly flats.",One flight from April- early July.,Southern Oregon south through California west of Sierra Nevada crest to northern Baja California.
145,Euchloe lotta,Pieridae,Pierinae,"Upperside of forewing with cell bar very close to edge of wing. Cell bar usually wide and devoid of white scales, but may be narrow in some populations. Underside pearly white; hindwing with dark green marbling.",1 1/4 - 1 3/4 inches (3.2 - 4.5 cm).,"Plants in the mustard (Brassicaceae) family including rock cress (Arabis), peppergrass (Lepidium), and tansy-mustard (Descurainia).",Flower nectar including that of hosts and others such as phloxes.,"Deserts, rocky canyons, hills, ridges, open pinyon-juniper woodlands.",One flight from March-June.,"Interior of south British Columbia east of Cascades and Sierra Nevada south to southern California, east to Colorado and New Mexico."
146,Euchloe olympia,Pieridae,Pierinae,Underside of hindwing with sparse marbling leaving much white space; pink tinge at upper margin in living butterlfies.,1 3/8 - 2 inches (3.5 - 5.1 cm).,Various rock cresses (Arabis species) in the mustard family (Brassicaceae).,"Flowers of rock cresses, chickweed, phlox, and houstonia.","Various open areas including prairies, foothills, lakeshore dunes, shale barrens, meadows, open woodlands.","One flight from April-July, early in Texas, later in the north.","Southern Canada, central Montana and Colorado, south to central Texas, east through Great Lake states. Isolated populations in Appalachians from Pennsylvania to Tennessee."
147,Eueides isabella,Nymphalidae,Heliconiinae,Forewing elongated with rounded apex. Wings similar above and below. Apical half of forewing black with yellow areas; basal half orange with a black stripe. Hindwing orange with 2 black stripes; white dots along the black outer margin.,3 1/16 - 3 1/2 inches (7.8 - 9 cm).,Passion-vines (Passiflora species).,Flower nectar.,"Subtropical woodland edges, scrub, and brushy fields.","April-July in Texas, throughout the year in the tropics.",Brazil north to Mexico and the West Indies; periodic immigrant to central Texas.
148,Eumaeus atala,Lycaenidae,Theclinae,"Abdomen red-orange. Upperside of male wings soft black with iridescent green overlay and markings; female has blue iridescence at basal areas. Underside dull black, hindwing with large red-orange spot and 3 rows of irregular iridescent gold spots.",1 1/2 - 2 inches (3.8 - 5.1 cm).,"Coontie (Zamia pumila), a shrubby, fernlike native cycad of Florida and the Bahamas; several other introduced plants of the family Cycadaceae.","Nectar from flowers including lantana, periwinkle, shepherd's needle, and wild coffee.",Subtropical shady hammocks and neighboring open areas; gardens with ornamental cycads.,"Many flights throughout the year, but most common in early summer.","Southeastern Florida and the Keys, the Bahamas, and Cuba."
149,Euphilotes ancilla,Lycaenidae,Polyommatinae,Upperside of male is deep blue with wide black borders; hindwing orange band usually absent. Female brown with variably expressed marginal orange patch on the hindwing. Underside of both sexes is light blue-gray with black spots. Underside of forewing often suffused with smoky gray.,5/8 - 1 inch (1.6 - 2.5 cm).,"Various Eriogonum species, especially Sulphur-flower.","Flower nectar, especially from Eriogonum.",Sun-exposed rocky slopes and flats with host plant colonies.,One flight; late April to early August depending on location and elevation.,"Washington south to California and southern Alberta and Saskatchewan south through rockies and high plains to Wyoming, Colorado, Utah, and northwestern New Mexico."
150,Euphilotes battoides,Lycaenidae,Polyommatinae,"Extremely variable geographically. Upperside of female brown often with orange band on outer edge of hindwing. Male blue with dark borders. Male may have orange band on outer edge of hindwing. Underside is off-white to gray with black postmedian spots ranging from square to round and from large to small, again depending on subspecies. Best identified by associated host, locality, and season.",11/16 - 13/16 inches (1.6 - 1.7 cm).,Various wild buckwheats (Eriogonum species) including coastal buckwheat and sulphur-flower.,Flower nectar especially that from Eriogonum species.,"Varies by subspecies; includes, prairie, open woodlands, chaparral, dunes, and alpine rock gardens.",One flight; Mid-April to August depending on location and host bloom.,"Spotty distribution from Washington south to Baja California Norte, thence west to southern Colorado and New Mexico."
151,Euphilotes rita,Lycaenidae,Polyommatinae,Upperside of male bright lilac-blue with dark medium-wide borders; corner of hindwing has a small orange patch and small marginal spots. Upperside of female brown with broad orange marginal band. Underside of both sexes off-white with distinct black spots; orange band on hindwing margin continuous.,11/16 - 7/8 inches (1.7 - 2.2 cm).,"Wild buckwheat species including Wright\'s buckwheat, Effuse Buckwheat, and others.",Nectar from Eriogonum flowers.,Arid areas such as desert foothills and shortgrass prairie.,One flight from July to late September.,"Wyoming, Colorado, Arizona, and New Mexico. Also found in northern Mexico."
152,Euphydryas gillettii,Nymphalidae,Nymphalinae,Upperside of both wings is dark brown with a wide orange-red submarginal band; other spots are orange-red and white.,1 1/2 - 1 7/8 inches (3.8 - 4.8 cm).,Plants of the honeysuckle family (Caprifoliaceae) including twin-berry honeysuckle (Lonicera involucrata) and snowberry (Symphoricarpus albus); and the figwort family (Scrophulariaceae) including speedwell (Veronica wormskjoldii).,Flower nectar.,"Open, moist conifer forests; moist meadows; streamsides.",One brood from June-August.,"Very local in southwest Alberta, eastern Idaho, Montana, and western Wyoming."
